Y,X,transect_id,obs_period,obs_type,obs_sp,nb,distance,obs_time,transect_start_time,transect_end_time,X_proj,Y_proj
0.80095522,21.14437108,A,Diurne,Crotte,Monticola,1,3.6,18/11/2012 08:57:59,18/11/2012 08:45:41,18/11/2012 15:04:05,516063.3445,88529.95821
0.80601353,21.14902957,A,Diurne,Crotte,Monticola,1,4.7,18/11/2012 09:17:54,18/11/2012 08:45:41,18/11/2012 15:04:05,516581.6488,89089.075
0.80645383,21.14942503,A,Diurne,Crotte,Monticola,1,2.7,18/11/2012 09:19:07,18/11/2012 08:45:41,18/11/2012 15:04:05,516625.6477,89137.74326
0.81248445,21.15507888,A,Diurne,Crotte,Monticola,1,3.9,18/11/2012 09:55:58,18/11/2012 08:45:41,18/11/2012 15:04:05,517254.6945,89804.33529
0.81562414,21.15780224,A,Diurne,Crotte,Monticola,1,1.4,18/11/2012 10:10:49,18/11/2012 08:45:41,18/11/2012 15:04:05,517557.6935,90151.37913
0.81718007,21.15907663,A,Diurne,Crotte,Monticola,1,4.7,18/11/2012 10:34:09,18/11/2012 08:45:41,18/11/2012 15:04:05,517699.4807,90323.36274
0.82048045,21.16165507,A,Diurne,Crotte,Monticola,1,4.3,18/11/2012 10:50:57,18/11/2012 08:45:41,18/11/2012 15:04:05,517986.354,90688.16756
0.82323256,21.16387216,A,Diurne,Crotte,Monticola,1,1.9,18/11/2012 11:14:51,18/11/2012 08:45:41,18/11/2012 15:04:05,518233.024,90992.37032
0.82547346,21.16557277,A,Diurne,Crotte,Monticola,1,1.5,18/11/2012 11:29:28,18/11/2012 08:45:41,18/11/2012 15:04:05,518422.2304,91240.06647
0.83083268,21.17050258,A,Diurne,Crotte,Monticola,1,0.1,18/11/2012 12:13:03,18/11/2012 08:45:41,18/11/2012 15:04:05,518970.7151,91832.44836
0.83370583,21.17290651,A,Diurne,Crotte,Monticola,1,2.1,18/11/2012 12:35:16,18/11/2012 08:45:41,18/11/2012 15:04:05,519238.1717,92150.03151
0.83466631,21.1736774,A,Diurne,Vu,Monticola,1,5.9,18/11/2012 12:42:54,18/11/2012 08:45:41,18/11/2012 15:04:05,519323.9392,92256.1979
0.84541485,21.18220456,A,Diurne,Crotte,Monticola,1,2.1,18/11/2012 14:02:31,18/11/2012 08:45:41,18/11/2012 15:04:05,520272.6478,93444.28606
0.85022229,21.18746362,A,Diurne,Vu,Monticola,1,2.7,18/11/2012 14:43:08,18/11/2012 08:45:41,18/11/2012 15:04:05,520857.7635,93975.6845
0.85161192,21.18895677,A,Diurne,Crotte,Monticola,1,1.3,18/11/2012 14:53:49,18/11/2012 08:45:41,18/11/2012 15:04:05,521023.889,94129.28965
0.84570427,21.19738611,I,Nocturne,Vu,Monticola,1,3.5,18/11/2012 20:07:03,18/11/2012 20:07:03,19/11/2012 02:00:22,521961.7992,93476.35848
0.84094243,21.19200652,I,Nocturne,Vu,Monticola,1,8.9,18/11/2012 21:11:13,18/11/2012 20:07:03,19/11/2012 02:00:22,521363.2728,92949.99795
0.84044597,21.19143295,I,Nocturne,Vu,Monticola,2,4.2,18/11/2012 21:15:45,18/11/2012 20:07:03,19/11/2012 02:00:22,521299.458,92895.12064
0.8368897,21.18751005,I,Nocturne,Vu,Monticola,1,9.9,18/11/2012 21:43:50,18/11/2012 20:07:03,19/11/2012 02:00:22,520863.0005,92502.02182
0.83467822,21.18502054,I,Nocturne,Vu,Monticola,1,3.7,18/11/2012 21:57:02,18/11/2012 20:07:03,19/11/2012 02:00:22,520586.0198,92257.57187
0.83195628,21.18211068,I,Nocturne,Vu,Monticola,1,1,18/11/2012 22:15:19,18/11/2012 20:07:03,19/11/2012 02:00:22,520262.2716,91956.69844
0.81794232,21.17104464,I,Nocturne,Vu,Monticola,1,9.7,19/11/2012 00:24:16,18/11/2012 20:07:03,19/11/2012 02:00:22,519031.088,90407.66953
0.81390895,21.16760706,I,Nocturne,Vu,Monticola,1,4.6,19/11/2012 00:51:31,18/11/2012 20:07:03,19/11/2012 02:00:22,518648.627,89961.84199
0.81237942,21.16640618,I,Nocturne,Vu,Monticola,1,3.7,19/11/2012 01:04:52,18/11/2012 20:07:03,19/11/2012 02:00:22,518515.0189,89792.77638
0.81178783,21.16586354,I,Nocturne,Vu,Monticola,1,5.5,19/11/2012 01:10:45,18/11/2012 20:07:03,19/11/2012 02:00:22,518454.6451,89727.38502
0.80834555,21.16329096,I,Nocturne,Vu,Monticola,1,2.7,19/11/2012 01:36:49,18/11/2012 20:07:03,19/11/2012 02:00:22,518168.4241,89346.89569
0.80641335,21.16182991,I,Nocturne,Vu,Monticola,1,12.9,19/11/2012 02:00:22,18/11/2012 20:07:03,19/11/2012 02:00:22,518005.8697,89133.32174
